Part_ID,Category,Unit_Cost,Lead_Time_Days,Demand_Class,ABC_Class,XYZ_Class,ABC_XYZ,Avg_Monthly_Demand,Annual_Demand,Annual_Value,EOQ,Safety_Stock,ROP,Avg_Inventory,Working_Capital,Inventory_Turnover,Days_of_Supply,Stock_Status,Newsvendor_Savings,Recommended_Method,MASE,Cpk,CV
P0414,Electrical,22.03,16,Intermittent,C,Z,CZ,0.22,2.6,57.03,6.9,1.0,1.1,4.4,96.69,0.59,610.4,Slow Mover,4.4,Croston,0.802,0.09,3.708
P0415,Electrical,170.73,16,Intermittent,B,Z,BZ,1.06,12.7,2169.23,5.5,2.0,2.5,4.7,799.23,2.714,132.6,Healthy,88.09,Croston,1.703,0.217,1.536
P0416,Suspension,158.71,17,Intermittent,C,Z,CZ,0.41,4.9,784.21,3.5,1.4,1.6,3.1,497.35,1.577,228.3,Healthy,36.58,Croston,1.754,0.124,2.685
P0417,Brake System,168.82,29,Intermittent,C,Z,CZ,0.51,6.1,1032.78,3.8,2.1,2.6,4.0,669.16,1.543,233.3,Healthy,92.95,Croston,1.628,0.133,2.499
P0418,Brake System,308.33,11,Intermittent,C,Z,CZ,0.49,5.9,1813.73,2.8,1.3,1.5,2.7,826.43,2.195,164.0,Healthy,95.86,Croston,1.627,0.125,2.661
P0419,Electrical,122.55,14,Intermittent,C,Z,CZ,1.0,12.0,1470.57,6.3,1.8,2.3,5.0,610.01,2.411,149.3,Healthy,30.34,Croston,1.076,0.202,1.645
P0420,Transmission,661.89,27,Lumpy,A,Z,AZ,1.04,12.5,8254.17,2.7,4.2,5.1,5.6,3690.44,2.237,161.0,Excess Stock,742.88,SBA,0.795,0.128,2.592
P0421,Exhaust System,64.22,16,Erratic,C,Z,CZ,2.49,29.9,1919.16,13.6,3.6,5.0,10.4,670.99,2.86,125.9,Healthy,69.04,SBA,1.605,0.275,1.212
P0422,Exhaust System,139.23,10,Lumpy,C,Z,CZ,0.45,5.4,753.49,3.9,1.7,1.9,3.7,516.37,1.459,246.7,Dead Stock,67.81,SBA,0.909,0.082,4.056
P0423,Engine Components,870.05,54,Erratic,A,Z,AZ,2.53,30.4,26408.7,3.7,6.2,10.8,8.1,7034.28,3.754,95.9,Excess Stock,1209.44,SBA,0.822,0.299,1.114
P0424,Suspension,99.74,36,Smooth,A,X,AX,10.51,126.1,12578.76,22.5,4.9,17.6,16.2,1615.2,7.788,46.2,Healthy,276.02,Naive,1.795,0.999,0.261
P0425,Engine Components,156.13,15,Lumpy,C,Z,CZ,0.37,4.5,698.0,3.4,1.7,1.9,3.4,528.38,1.321,272.5,Dead Stock,62.82,SBA,0.878,0.085,3.905
P0426,Suspension,229.1,34,Lumpy,B,Z,BZ,1.27,15.3,3503.84,5.2,5.7,7.1,8.3,1895.2,1.849,194.7,Excess Stock,256.13,SBA,1.517,0.131,2.549
P0427,Suspension,96.12,18,Erratic,B,Z,BZ,2.24,26.8,2578.38,10.6,3.4,4.8,8.7,838.21,3.076,117.0,Healthy,24.99,SBA,1.326,0.276,1.207
P0428,Fuel System,163.45,7,Erratic,B,Z,BZ,2.39,28.7,4692.01,8.4,2.1,2.7,6.3,1034.89,4.534,79.4,Healthy,46.24,SBA,1.521,0.296,1.126
P0429,Brake System,296.5,29,Lumpy,B,Z,BZ,0.75,8.9,2651.07,3.5,3.8,4.5,5.5,1641.9,1.615,223.0,Excess Stock,238.6,SBA,1.393,0.106,3.154
P0430,Engine Components,469.87,23,Erratic,A,Z,AZ,1.57,18.8,8844.68,4.0,3.2,4.4,5.2,2440.41,3.624,99.3,Healthy,153.78,SBA,1.467,0.236,1.413
P0431,Engine Components,340.67,55,Intermittent,C,Z,CZ,0.47,5.6,1923.79,2.6,2.7,3.5,3.9,1344.59,1.431,251.6,Excess Stock,28.18,Croston,0.835,0.131,2.537
P0432,Transmission,438.92,45,Lumpy,B,Z,BZ,0.71,8.5,3717.93,2.8,5.3,6.3,6.7,2921.65,1.273,282.9,Excess Stock,161.76,SBA,0.863,0.09,3.704
P0433,Electrical,207.54,10,Erratic,B,Z,BZ,2.16,25.9,5371.71,7.1,2.8,3.5,6.3,1315.0,4.085,88.1,Healthy,182.51,SBA,1.6,0.243,1.369
P0434,Engine Components,156.67,16,Lumpy,C,Z,CZ,0.9,10.8,1695.75,5.3,2.8,3.3,5.4,853.21,1.987,181.1,Healthy,31.14,SBA,0.628,0.128,2.6
P0435,Engine Components,584.43,19,Lumpy,B,Z,BZ,0.41,4.9,2887.76,1.8,2.2,2.5,3.1,1833.45,1.575,228.6,Excess Stock,259.9,SBA,1.289,0.081,4.114
P0436,Transmission,537.31,26,Intermittent,A,Z,AZ,1.04,12.5,6700.58,3.0,2.9,3.8,4.4,2389.65,2.804,128.4,Healthy,393.61,Croston,0.75,0.181,1.837
P0437,Engine Components,619.98,15,Smooth,A,X,AX,3.57,42.8,26549.57,5.3,1.7,3.5,4.4,2710.0,9.797,36.7,Healthy,960.54,Naive,1.224,0.792,0.42
P0438,Exhaust System,72.51,24,Erratic,B,Z,BZ,2.41,28.9,2098.62,12.6,4.0,5.9,10.3,744.84,2.818,127.8,Healthy,61.61,SBA,0.724,0.299,1.114
P0439,Transmission,592.73,43,Lumpy,A,Z,AZ,1.45,17.4,10320.46,3.4,7.3,9.4,9.0,5361.06,1.925,187.0,Excess Stock,286.34,SBA,0.704,0.13,2.565
P0440,Engine Components,217.36,15,Lumpy,B,Z,BZ,1.8,21.6,4705.11,6.3,4.2,5.1,7.4,1609.15,2.924,123.1,Healthy,221.8,SBA,1.395,0.165,2.024
P0441,Engine Components,296.86,25,Intermittent,C,Z,CZ,0.57,6.8,2025.65,3.0,1.9,2.4,3.4,1017.09,1.992,180.8,Healthy,182.31,Croston,1.447,0.149,2.237
P0442,Body Parts,312.02,31,Smooth,A,X,AX,12.69,152.2,47499.8,14.0,5.8,18.9,12.8,3979.41,11.936,30.2,Healthy,1130.38,Naive,0.879,0.999,0.272
P0443,Brake System,248.15,11,Erratic,B,Z,BZ,1.37,16.5,4087.16,5.2,1.5,2.0,4.1,1008.74,4.052,88.9,Healthy,206.01,SBA,1.317,0.305,1.089
P0444,Brake System,48.78,26,Intermittent,C,Z,CZ,0.53,6.4,309.9,7.2,2.2,2.7,5.8,285.1,1.087,331.2,Healthy,27.89,Croston,1.537,0.121,2.758
P0445,Exhaust System,73.5,13,Intermittent,C,Z,CZ,0.69,8.2,605.28,6.7,1.5,1.8,4.8,354.64,1.707,210.9,Healthy,45.56,Croston,1.24,0.167,1.989
P0446,Cooling System,62.16,22,Smooth,B,Y,BY,3.61,43.3,2691.2,16.7,2.8,5.5,11.2,693.11,3.883,92.7,Healthy,89.78,Naive,1.758,0.603,0.552
P0447,Body Parts,123.95,29,Smooth,B,Y,BY,3.1,37.2,4608.02,11.0,2.9,5.8,8.3,1032.25,4.464,80.6,Healthy,102.22,Naive,1.186,0.585,0.569
P0448,Transmission,336.16,21,Smooth,A,X,AX,6.73,80.7,27129.92,9.8,3.6,8.3,8.5,2852.46,9.511,37.9,Healthy,537.24,Naive,0.832,0.859,0.387
P0449,Brake System,62.19,7,Intermittent,C,Z,CZ,1.02,12.2,760.97,8.9,1.2,1.5,5.7,352.6,2.158,166.8,Healthy,13.51,Croston,1.579,0.218,1.523
P0450,Engine Components,488.24,30,Lumpy,A,Z,AZ,1.59,19.1,9305.26,4.0,5.6,7.1,7.5,3678.62,2.53,142.3,Excess Stock,597.47,SBA,0.95,0.157,2.128
P0451,Transmission,603.0,21,Erratic,A,Z,AZ,2.14,25.6,15465.26,4.1,4.1,5.6,6.2,3725.3,4.151,86.7,Healthy,223.29,SBA,0.98,0.238,1.399
P0452,Electrical,176.96,9,Lumpy,C,Z,CZ,0.47,5.6,999.32,3.6,2.1,2.3,3.9,692.85,1.442,249.6,Dead Stock,74.36,SBA,1.095,0.066,5.021
P0453,Suspension,322.42,39,Intermittent,B,Z,BZ,1.1,13.2,4248.36,4.0,3.3,4.8,5.4,1731.27,2.454,146.7,Healthy,382.35,Croston,0.663,0.205,1.626
P0454,Fuel System,40.01,15,Lumpy,C,Z,CZ,2.27,27.3,1092.11,16.5,4.6,5.8,12.9,516.43,2.115,170.2,Healthy,55.21,SBA,0.636,0.19,1.757
P0455,Engine Components,851.25,16,Intermittent,A,Z,AZ,0.92,11.1,9413.81,2.3,2.0,2.5,3.2,2698.65,3.488,103.2,Healthy,99.26,Croston,0.642,0.181,1.834
P0456,Suspension,387.01,20,Intermittent,B,Z,BZ,1.0,12.0,4644.14,3.5,2.6,3.2,4.3,1674.17,2.774,129.8,Healthy,83.32,Croston,1.798,0.174,1.91
P0457,Engine Components,743.35,37,Lumpy,A,Z,AZ,0.9,10.8,8045.69,2.4,5.5,6.6,6.7,4977.68,1.616,222.7,Excess Stock,40.66,SBA,1.723,0.1,3.332
P0458,Suspension,380.96,31,Lumpy,B,Z,BZ,1.18,14.1,5378.31,3.9,5.9,7.1,7.8,2971.33,1.81,198.9,Dead Stock,483.44,SBA,1.07,0.112,2.986
P0459,Engine Components,837.41,57,Lumpy,A,Z,AZ,0.73,8.7,7290.37,2.0,5.8,7.2,6.8,5728.73,1.273,282.9,Dead Stock,254.29,SBA,1.201,0.094,3.539
P0460,Engine Components,551.12,58,Erratic,A,Z,AZ,2.04,24.5,13486.11,4.2,5.5,9.4,7.6,4166.8,3.237,111.2,Excess Stock,280.2,SBA,1.276,0.285,1.169
P0461,Engine Components,297.61,39,Erratic,A,Z,AZ,2.57,30.8,9173.32,6.4,5.7,9.0,8.9,2656.81,3.453,104.3,Healthy,130.27,SBA,1.308,0.281,1.185
P0462,Electrical,179.6,17,Intermittent,C,Z,CZ,0.2,2.4,422.58,2.3,0.8,0.9,1.9,344.98,1.225,293.9,Healthy,16.9,Croston,0.685,0.104,3.197
P0463,Transmission,608.58,21,Intermittent,B,Z,BZ,0.47,5.6,3436.71,1.9,1.7,2.1,2.7,1639.9,2.096,171.8,Healthy,120.45,Croston,0.849,0.124,2.673
P0464,Electrical,211.33,12,Intermittent,C,Z,CZ,0.55,6.6,1392.32,3.5,1.2,1.4,2.9,616.79,2.257,159.5,Healthy,125.31,Croston,0.786,0.165,2.018
P0465,Cooling System,108.22,16,Intermittent,C,Z,CZ,0.65,7.8,840.28,5.4,1.5,1.9,4.2,456.37,1.841,195.5,Healthy,34.23,Croston,1.051,0.168,1.979
P0466,Brake System,63.83,9,Intermittent,C,Z,CZ,0.39,4.7,300.36,5.4,1.1,1.2,3.8,245.4,1.224,294.1,Healthy,27.03,Croston,1.744,0.104,3.197
P0467,Brake System,147.06,10,Intermittent,C,Z,CZ,1.14,13.6,2006.88,6.1,1.6,2.0,4.7,689.13,2.912,123.6,Healthy,99.19,Croston,0.988,0.219,1.518
P0468,Fuel System,195.34,22,Intermittent,B,Z,BZ,1.69,20.2,3952.8,6.4,2.9,4.2,6.1,1198.92,3.297,109.2,Healthy,117.35,Croston,1.191,0.271,1.229
P0469,Brake System,205.72,14,Erratic,A,Y,AY,3.2,38.4,7890.1,8.6,3.4,4.9,7.7,1593.08,4.953,72.7,Healthy,320.63,SBA,0.833,0.349,0.954
P0470,Cooling System,110.75,22,Erratic,B,Z,BZ,2.47,29.6,3283.41,10.3,4.4,6.2,9.6,1062.82,3.089,116.5,Healthy,85.36,SBA,1.581,0.262,1.271
P0471,Engine Components,348.15,30,Lumpy,A,Z,AZ,1.73,20.7,7208.65,4.9,6.1,7.8,8.5,2958.85,2.436,147.8,Excess Stock,306.96,SBA,0.605,0.156,2.135
P0472,Cooling System,85.27,25,Erratic,B,Z,BZ,2.08,24.9,2126.67,10.8,3.3,5.1,8.7,745.61,2.852,126.2,Healthy,81.45,SBA,1.307,0.311,1.069
P0473,Engine Components,809.87,28,Lumpy,A,Z,AZ,0.88,10.6,8575.09,2.3,4.1,4.9,5.3,4265.26,2.01,179.1,Excess Stock,347.9,SBA,0.781,0.113,2.94
P0474,Fuel System,148.3,22,Lumpy,C,Z,CZ,0.78,9.4,1395.72,5.0,4.1,4.7,6.7,987.63,1.413,254.7,Dead Stock,58.49,SBA,0.797,0.089,3.748
P0475,Suspension,367.08,24,Erratic,A,Z,AZ,2.29,27.5,10105.52,5.5,3.7,5.6,6.5,2380.35,4.245,84.8,Healthy,678.75,SBA,1.118,0.3,1.11
P0476,Filters,24.81,13,Erratic,C,Z,CZ,1.57,18.8,467.03,17.4,2.6,3.3,11.3,280.67,1.664,216.4,Healthy,36.44,SBA,0.604,0.217,1.532
P0477,Engine Components,614.49,47,Lumpy,A,Z,AZ,1.53,18.4,11277.74,3.5,7.0,9.4,8.8,5382.49,2.095,171.8,Excess Stock,1015.0,SBA,1.063,0.149,2.233
P0478,Electrical,83.08,15,Lumpy,B,Z,BZ,2.71,32.5,2697.54,12.5,4.6,5.9,10.8,897.92,3.004,119.8,Healthy,109.56,SBA,1.303,0.23,1.448
P0479,Cooling System,135.82,7,Erratic,B,Z,BZ,2.39,28.7,3898.81,9.2,2.3,2.9,6.9,936.38,4.164,86.5,Healthy,126.53,SBA,1.55,0.276,1.208
P0480,Suspension,226.76,24,Erratic,A,Z,AZ,2.37,28.5,6456.12,7.1,4.1,6.0,7.6,1726.05,3.74,96.2,Healthy,372.58,SBA,1.325,0.286,1.165
P0481,Electrical,133.95,14,Erratic,B,Z,BZ,2.75,32.9,4412.37,9.9,3.2,4.5,8.2,1099.13,4.014,89.7,Healthy,68.89,SBA,1.743,0.316,1.052
P0482,Transmission,557.13,24,Intermittent,B,Z,BZ,0.73,8.7,4850.28,2.5,2.1,2.7,3.4,1879.08,2.581,139.5,Healthy,370.04,Croston,1.691,0.167,1.989
P0483,Suspension,425.15,14,Lumpy,B,Z,BZ,0.82,9.9,4201.48,3.0,2.9,3.3,4.5,1902.29,2.209,163.0,Healthy,218.86,SBA,1.76,0.104,3.187
P0484,Electrical,34.77,7,Intermittent,C,Z,CZ,0.84,10.1,351.79,10.8,1.4,1.6,6.8,234.74,1.499,240.2,Healthy,13.96,Croston,0.724,0.164,2.026
P0485,Electrical,234.08,17,Lumpy,B,Z,BZ,1.16,13.9,3249.62,4.9,3.7,4.4,6.1,1437.52,2.261,159.3,Healthy,292.47,SBA,0.634,0.129,2.587
P0486,Fuel System,79.09,16,Smooth,A,X,AX,7.16,85.9,6792.51,20.8,3.1,6.9,13.6,1071.92,6.337,56.8,Healthy,95.9,Naive,1.204,0.914,0.364
P0487,Engine Components,477.17,24,Lumpy,B,Z,BZ,0.59,7.1,3368.25,2.4,3.5,4.0,4.7,2249.76,1.497,240.5,Dead Stock,303.14,SBA,0.622,0.082,4.042
P0488,Brake System,51.03,24,Lumpy,C,Z,CZ,1.41,16.9,864.44,11.5,4.7,5.8,10.4,532.9,1.622,221.9,Healthy,70.04,SBA,0.818,0.148,2.254
P0489,Cooling System,75.16,8,Smooth,C,Y,CY,2.24,26.8,2015.97,11.9,1.2,1.8,7.2,538.92,3.741,96.2,Healthy,60.09,Naive,1.416,0.528,0.63
P0490,Fuel System,117.99,13,Erratic,B,Z,BZ,2.29,27.5,3248.11,9.7,2.8,3.8,7.6,895.21,3.628,99.2,Healthy,146.23,SBA,1.753,0.3,1.11
P0491,Suspension,81.91,32,Erratic,C,Z,CZ,1.78,21.4,1753.81,10.2,3.3,5.2,8.4,686.41,2.555,140.9,Healthy,103.49,SBA,0.884,0.309,1.078
P0492,Electrical,146.67,11,Lumpy,B,Z,BZ,1.45,17.4,2553.73,6.9,3.4,4.0,6.9,1010.03,2.528,142.4,Healthy,19.69,SBA,0.859,0.14,2.381
P0493,Brake System,299.96,13,Intermittent,B,Z,BZ,0.61,7.3,2187.91,3.1,1.6,1.9,3.2,962.15,2.274,158.3,Healthy,196.91,Croston,0.667,0.133,2.504
P0494,Engine Components,227.67,16,Lumpy,B,Z,BZ,1.65,19.8,4499.93,5.9,4.3,5.2,7.2,1645.5,2.735,131.6,Healthy,123.97,SBA,0.664,0.154,2.164
P0495,Suspension,358.13,21,Intermittent,A,Z,AZ,1.73,20.7,7415.44,4.8,3.2,4.4,5.6,2016.37,3.678,97.9,Healthy,418.86,Croston,1.346,0.245,1.358
P0496,Brake System,157.66,13,Smooth,A,X,AX,14.71,176.5,27822.27,21.2,4.3,10.7,14.9,2351.15,11.833,30.4,Healthy,446.07,Naive,1.754,0.999,0.272
P0497,Electrical,189.66,5,Smooth,A,X,AX,10.94,131.3,24900.65,16.6,2.3,4.1,10.6,2012.97,12.37,29.1,Healthy,459.84,Naive,1.479,0.999,0.312
P0498,Engine Components,341.79,39,Erratic,A,Z,AZ,2.45,29.4,10052.78,5.9,5.3,8.5,8.2,2817.24,3.568,100.9,Healthy,240.81,SBA,1.005,0.288,1.155
P0499,Body Parts,89.44,10,Smooth,A,X,AX,15.47,185.6,16604.76,28.8,3.8,9.0,18.2,1628.95,10.194,35.3,Healthy,331.0,Naive,0.991,0.999,0.259
P0500,Body Parts,89.74,14,Erratic,B,Z,BZ,1.94,23.3,2090.49,10.2,2.5,3.4,7.6,680.87,3.07,117.3,Healthy,103.24,SBA,1.446,0.291,1.142
P0501,Transmission,238.77,35,Lumpy,B,Z,BZ,1.2,14.4,3427.06,4.9,5.3,6.7,7.7,1845.67,1.857,193.9,Dead Stock,173.25,SBA,1.278,0.134,2.484
P0502,Suspension,132.4,11,Lumpy,C,Z,CZ,1.2,14.4,1900.36,6.6,3.4,3.8,6.6,879.94,2.16,166.7,Healthy,59.18,SBA,1.315,0.118,2.815
P0503,Brake System,227.66,15,Lumpy,C,Z,CZ,0.63,7.5,1714.15,3.6,2.6,2.9,4.4,1000.24,1.714,210.1,Dead Stock,20.16,SBA,1.266,0.094,3.528
P0504,Exhaust System,171.66,13,Lumpy,C,Z,CZ,0.75,8.9,1534.86,4.6,2.6,2.9,4.9,840.88,1.825,197.2,Healthy,138.14,SBA,0.647,0.103,3.243
P0505,Transmission,647.77,52,Lumpy,A,Z,AZ,1.41,16.9,10973.97,3.2,6.9,9.4,8.6,5545.92,1.979,181.9,Excess Stock,159.89,SBA,1.299,0.147,2.271
P0506,Engine Components,654.94,17,Lumpy,B,Z,BZ,0.78,9.4,6164.18,2.4,3.1,3.6,4.3,2824.98,2.182,165.0,Excess Stock,315.14,SBA,1.705,0.104,3.207
P0507,Fuel System,45.43,24,Lumpy,C,Z,CZ,0.67,8.0,363.44,8.4,3.4,3.9,7.6,344.82,1.054,341.6,Dead Stock,3.23,SBA,1.375,0.096,3.46
P0508,Exhaust System,79.82,27,Lumpy,C,Z,CZ,2.12,25.4,2028.47,11.3,6.4,8.3,12.1,962.91,2.107,170.9,Healthy,143.76,SBA,0.646,0.171,1.943
P0509,Cooling System,76.47,10,Smooth,B,Y,BY,3.86,46.4,3544.66,15.6,1.9,3.2,9.7,742.06,4.777,75.4,Healthy,74.2,Naive,1.369,0.636,0.523
P0510,Transmission,337.48,52,Erratic,A,Z,AZ,2.55,30.6,10322.81,6.0,5.6,10.0,8.6,2915.95,3.54,101.7,Healthy,374.64,SBA,1.794,0.326,1.02
P0511,Electrical,152.93,16,Lumpy,C,Z,CZ,0.39,4.7,719.68,3.5,2.0,2.2,3.7,570.66,1.261,285.5,Healthy,46.61,SBA,1.068,0.079,4.197
P0512,Suspension,268.87,22,Erratic,A,Z,AZ,2.37,28.5,7654.77,6.5,4.8,6.6,8.1,2178.26,3.514,102.4,Healthy,444.01,SBA,1.177,0.23,1.45
P0513,Cooling System,83.53,7,Lumpy,C,Z,CZ,1.63,19.5,1631.35,9.7,2.8,3.2,7.6,638.28,2.556,140.9,Healthy,62.44,SBA,1.39,0.153,2.17
P0514,Fuel System,90.45,9,Erratic,B,Z,BZ,2.04,24.5,2213.39,10.4,2.3,2.9,7.5,675.85,3.275,109.9,Healthy,34.48,SBA,1.494,0.269,1.236
P0515,Engine Components,760.65,43,Smooth,A,X,AX,13.78,165.4,125819.71,9.3,6.7,26.4,11.4,8636.39,14.569,24.7,Healthy,2506.44,Naive,1.032,0.999,0.246
P0516,Engine Components,731.71,49,Lumpy,A,Z,AZ,1.02,12.2,8952.67,2.6,5.6,7.3,6.9,5050.1,1.773,203.1,Excess Stock,237.37,SBA,0.708,0.127,2.617
P0517,Brake System,129.64,29,Intermittent,C,Z,CZ,0.69,8.2,1067.66,5.0,2.8,3.4,5.3,685.12,1.558,231.0,Healthy,77.8,Croston,1.352,0.134,2.49
P0518,Exhaust System,176.64,22,Lumpy,C,Z,CZ,0.98,11.8,2078.08,5.2,4.3,5.0,6.9,1220.01,1.703,211.3,Dead Stock,111.72,SBA,1.025,0.106,3.132
P0519,Body Parts,335.37,28,Intermittent,B,Z,BZ,0.65,7.8,2604.07,3.0,2.0,2.6,3.5,1184.67,2.198,163.8,Healthy,234.37,Croston,1.241,0.17,1.955
P0520,Engine Components,390.81,14,Smooth,A,Y,AY,2.37,28.5,11126.57,5.4,1.7,2.8,4.4,1705.41,6.524,55.2,Healthy,267.74,Naive,0.695,0.533,0.624
P0521,Electrical,110.86,9,Lumpy,C,Z,CZ,0.0,0.0,0.0,0.6,0.0,0.0,0.3,33.3,0.0,999.0,Dead Stock,0.0,SBA,1.022,0.0,999.0
P0522,Brake System,184.05,25,Lumpy,B,Z,BZ,2.08,24.9,4590.41,7.4,5.9,7.7,9.6,1767.83,2.597,138.6,Healthy,233.94,SBA,0.671,0.175,1.898
P0523,Cooling System,171.17,17,Erratic,B,Z,BZ,2.27,27.3,4671.88,8.0,4.0,5.3,8.0,1373.32,3.402,105.8,Healthy,124.94,SBA,1.177,0.233,1.431
P0524,Exhaust System,170.83,19,Intermittent,C,Z,CZ,0.88,10.6,1808.78,5.0,1.9,2.5,4.4,755.66,2.394,150.4,Healthy,20.79,Croston,0.947,0.199,1.674
P0525,Exhaust System,50.9,26,Lumpy,C,Z,CZ,1.14,13.6,694.61,10.4,4.3,5.3,9.5,482.4,1.44,250.0,Healthy,37.37,SBA,1.086,0.135,2.469
P0526,Suspension,213.16,13,Lumpy,C,Z,CZ,0.51,6.1,1304.07,3.4,2.3,2.5,3.9,841.35,1.55,232.3,Dead Stock,117.37,SBA,1.15,0.082,4.081
P0527,Suspension,275.81,27,Lumpy,B,Z,BZ,1.61,19.3,5321.6,5.3,5.0,6.4,7.6,2096.17,2.539,141.8,Healthy,276.31,SBA,1.385,0.169,1.975
P0528,Brake System,183.36,24,Intermittent,B,Z,BZ,0.96,11.5,2114.05,5.0,2.7,3.5,5.2,958.0,2.207,163.1,Healthy,49.83,Croston,1.0,0.173,1.922
P0529,Engine Components,292.88,29,Smooth,A,Y,AY,2.59,31.1,9096.42,6.5,2.2,4.7,5.4,1591.18,5.717,63.0,Healthy,273.68,Naive,0.779,0.64,0.52
P0530,Fuel System,183.88,15,Lumpy,B,Z,BZ,1.94,23.3,4283.35,7.1,4.8,5.8,8.4,1545.38,2.772,129.9,Healthy,359.93,SBA,1.336,0.155,2.146
P0531,Exhaust System,139.93,24,Intermittent,C,Z,CZ,0.41,4.9,691.4,3.8,1.7,2.1,3.6,504.75,1.37,262.8,Healthy,37.46,Croston,1.679,0.117,2.852
P0532,Filters,39.0,10,Lumpy,C,Z,CZ,1.0,12.0,468.03,11.1,2.7,3.1,8.3,323.4,1.447,248.8,Healthy,1.18,SBA,1.784,0.115,2.89
P0533,Filters,39.77,6,Intermittent,C,Z,CZ,0.61,7.3,290.12,8.6,0.8,1.0,5.1,203.65,1.425,252.7,Healthy,24.81,Croston,0.851,0.177,1.874
P0534,Electrical,214.07,9,Lumpy,C,Z,CZ,0.8,9.6,2065.14,4.2,2.3,2.5,4.4,940.62,2.196,164.0,Healthy,185.86,SBA,1.169,0.106,3.135
P0535,Transmission,441.57,56,Lumpy,B,Z,BZ,1.02,12.2,5402.69,3.3,6.0,7.9,7.7,3389.91,1.594,225.9,Excess Stock,223.43,SBA,0.818,0.127,2.624
P0536,Cooling System,121.58,18,Lumpy,C,Z,CZ,0.69,8.2,1001.26,5.2,2.8,3.2,5.4,657.35,1.523,236.3,Healthy,28.96,SBA,1.009,0.104,3.207
P0537,Exhaust System,59.86,13,Lumpy,C,Z,CZ,0.88,10.6,633.78,8.4,2.9,3.3,7.1,427.11,1.484,242.6,Healthy,49.7,SBA,1.707,0.109,3.066
P0538,Brake System,230.25,21,Lumpy,C,Z,CZ,0.63,7.5,1733.67,3.6,3.7,4.1,5.5,1262.89,1.373,262.2,Dead Stock,75.68,SBA,1.479,0.078,4.257
P0539,Suspension,129.91,38,Intermittent,C,Z,CZ,1.02,12.2,1589.47,6.1,2.9,4.2,6.0,778.19,2.043,176.3,Healthy,18.91,Croston,0.794,0.215,1.548
P0540,Engine Components,661.44,39,Intermittent,A,Z,AZ,1.41,16.9,11205.59,3.2,3.3,5.2,4.9,3258.36,3.439,104.7,Excess Stock,666.08,Croston,1.67,0.265,1.256
P0541,Cooling System,64.44,27,Smooth,B,X,BX,6.18,74.1,4776.12,21.4,3.4,8.9,14.1,907.15,5.265,68.4,Healthy,103.76,Naive,0.951,0.957,0.348
P0542,Electrical,48.8,5,Erratic,C,Z,CZ,2.29,27.5,1343.39,15.0,1.9,2.3,9.4,460.19,2.919,123.3,Healthy,103.08,SBA,0.964,0.267,1.246
P0543,Brake System,90.45,22,Erratic,C,Z,CZ,1.9,22.8,2064.46,10.0,4.3,5.7,9.3,841.39,2.454,146.7,Healthy,96.9,SBA,1.224,0.208,1.597
P0544,Electrical,18.52,16,Smooth,B,X,BX,14.18,170.1,3150.91,60.6,4.2,11.7,34.5,638.88,4.932,73.0,Healthy,47.35,Naive,0.728,0.999,0.246
P0545,Electrical,206.31,19,Smooth,A,X,AX,9.75,116.9,24126.11,15.1,3.7,9.8,11.2,2309.35,10.447,34.5,Healthy,353.56,Naive,1.457,0.999,0.287
P0546,Brake System,246.41,25,Smooth,A,Y,AY,2.69,32.2,7943.11,7.2,2.6,4.8,6.2,1527.9,5.199,69.2,Healthy,181.89,Naive,1.296,0.519,0.641
P0547,Engine Components,529.51,22,Erratic,A,Z,AZ,2.06,24.7,13081.91,4.3,3.2,4.7,5.4,2849.9,4.59,78.4,Healthy,149.05,SBA,1.315,0.3,1.111
P0548,Electrical,60.28,19,Erratic,C,Z,CZ,2.24,26.8,1616.84,13.3,3.8,5.2,10.5,633.13,2.554,141.0,Healthy,23.86,SBA,0.957,0.254,1.31
P0549,Suspension,92.59,23,Lumpy,C,Z,CZ,0.8,9.6,893.18,6.5,3.3,3.9,6.5,601.14,1.486,242.3,Dead Stock,80.39,SBA,1.715,0.118,2.82
P0550,Transmission,210.52,57,Lumpy,B,Z,BZ,1.12,13.4,2823.46,5.0,7.0,9.1,9.5,2000.83,1.411,255.1,Excess Stock,207.15,SBA,1.676,0.121,2.754
P0551,Suspension,124.64,11,Erratic,B,Z,BZ,2.96,35.5,4428.45,10.7,4.1,5.2,9.4,1172.3,3.778,95.3,Healthy,131.48,SBA,1.714,0.242,1.379
P0552,Exhaust System,173.08,26,Lumpy,C,Z,CZ,0.35,4.2,733.06,3.1,2.7,3.0,4.2,733.8,0.999,360.4,Dead Stock,65.98,SBA,1.587,0.067,4.95
P0553,Electrical,81.28,20,Intermittent,C,Z,CZ,0.22,2.6,210.38,3.6,1.1,1.3,2.9,235.0,0.895,402.1,Dead Stock,0.0,Croston,0.653,0.087,3.82
P0554,Electrical,110.82,18,Intermittent,C,Z,CZ,0.82,9.9,1095.15,6.0,2.3,2.8,5.3,591.31,1.852,194.4,Healthy,5.7,Croston,1.227,0.149,2.239
P0555,Fuel System,44.49,20,Lumpy,C,Z,CZ,0.98,11.8,523.4,10.3,4.2,4.9,9.4,417.55,1.253,287.2,Healthy,15.14,SBA,1.388,0.103,3.222
